arming;age;race;state
unarmed;25;W;TX
harmless;36;B;DC
dangerous;21;H;NM
harmful;30;W;CA
dangerous;53;W;OK
dangerous;31;H;FL
dangerous;22;N;SD
harmful;24;W;AZ
unarmed;36;B;TX
dangerous;47;W;MO
harmless;54;W;OH
dangerous;43;H;TX
neutral;38;O;HI
dangerous;30;W;FL
dangerous;51;W;NC
dangerous;55;W;OR
dangerous;16;H;CA
dangerous;23;B;OH
dangerous;36;W;AR
dangerous;33;B;PA
unarmed;17;B;TX
neutral;22;B;LA
unarmed;22;H;CA
dangerous;29;O;HI
dangerous;41;W;KY
dangerous;67;W;MD
dangerous;36;N;AK
harmful;52;W;MN
dangerous;56;O;TX
harmful;35;W;NC
harmful;45;W;CA
harmful;30;B;OH
dangerous;29;B;MA
dangerous;53;W;TX
dangerous;32;B;NY
dangerous;22;B;LA
dangerous;29;B;IA
unarmed;24;B;TX
unarmed;19;B;VA
harmful;26;W;CA
harmful;50;W;FL
dangerous;29;H;CA
dangerous;52;H;NM
neutral;39;W;CA
harmful;51;W;CT
neutral;48;W;MO
dangerous;30;W;AR
harmless;37;B;OH
neutral;25;W;GA
neutral;30;H;CA
neutral;35;H;CA
dangerous;32;H;TX
harmful;35;W;UT
dangerous;31;W;TN
dangerous;30;H;CA
dangerous;23;H;NM
dangerous;41;B;WA
dangerous;45;W;MS
neutral;46;B;WA
dangerous;36;N;AZ
dangerous;31;B;CA
neutral;32;B;CA
dangerous;38;N;AK
dangerous;33;H;CO
harmful;45;W;CA
neutral;38;W;TX
harmless;22;W;OH
neutral;48;B;LA
dangerous;36;H;CA
harmful;39;H;TX
dangerous;26;W;AZ
harmful;16;W;MO
dangerous;58;W;CO
neutral;27;H;AZ
neutral;26;H;CA
unarmed;21;B;WI
dangerous;37;W;CO
harmless;56;B;AL
dangerous;19;W;NV
dangerous;38;B;KS
harmless;18;B;VA
unarmed;35;W;SD
dangerous;23;H;TX
dangerous;41;W;AL
dangerous;44;W;SD
dangerous;24;B;NC
dangerous;39;H;FL
dangerous;22;H;TX
dangerous;37;W;MS
unarmed;36;W;MD
harmful;41;W;PA
harmful;27;H;AZ
unarmed;30;W;KY
dangerous;34;W;NY
dangerous;22;W;TX
dangerous;51;W;TX
unarmed;42;W;ND
dangerous;41;H;CA
dangerous;49;W;NY
harmful;45;W;CA
neutral;45;W;KS
dangerous;42;W;MT
neutral;41;H;NM
harmless;27;W;FL
harmless;37;W;MS
harmless;22;B;NV
dangerous;21;H;CA
dangerous;50;W;TX
neutral;23;H;CO
dangerous;25;B;VA
dangerous;51;W;KS
harmful;46;W;IL
dangerous;23;H;CA
unarmed;37;B;TX
harmful;20;B;TX
dangerous;43;W;NC
neutral;45;W;CA
unarmed;16;H;TX
unarmed;30;W;TN
dangerous;26;W;AL
dangerous;24;B;PA
harmful;38;W;WA
dangerous;28;B;MD
dangerous;29;B;IL
dangerous;34;W;KY
harmful;38;W;IN
dangerous;43;W;TX
unarmed;23;H;CA
dangerous;33;H;TX
dangerous;40;W;NC
dangerous;38;A;MN
dangerous;53;A;FL
dangerous;29;B;TX
dangerous;30;B;TX
dangerous;60;W;ID
harmless;25;B;VA
neutral;24;W;LA
dangerous;21;B;IL
dangerous;23;W;KY
harmful;61;W;VA
dangerous;54;W;PA
dangerous;62;H;IN
harmless;16;B;FL
harmful;76;W;VT
harmless;25;W;CT
dangerous;28;W;PA
harmful;25;H;FL
neutral;33;W;VA
dangerous;51;W;CO
dangerous;34;H;CA
dangerous;30;B;TN
harmful;44;W;MA
harmless;24;B;RI
dangerous;29;W;CA
dangerous;48;H;CO
dangerous;19;H;NM
dangerous;22;B;MO
